transaction_id,customer_id,product_id,quantity,transaction_date,payment_method,discount_pct,total_amount
TX300000,CUST101470,PROD201152,1,2023-07-09,Credit Card,15,1034.61
TX300001,CUST100744,PROD200435,2,2024-10-26,Cash,10,467.17
TX300002,CUST100966,PROD201303,2,2024-03-02,Credit Card,10,2278.33
TX300003,CUST100762,PROD200357,4,2024-08-09,Credit Card,0,4133.72
TX300004,CUST100761,PROD200929,2,2024-07-25,Cash,0,2518.52
TX300005,CUST100793,PROD200882,3,2024-07-03,Credit Card,15,196.96
TX300006,CUST100743,PROD200251,1,2022-10-24,Mobile Pay,5,576.25
TX300007,CUST101069,PROD200134,2,2024-07-08,Credit Card,10,2047.23
TX300008,CUST100557,PROD200522,1,2022-10-10,Cash,0,1102.74
TX300009,CUST100525,PROD200803,3,2021-11-06,Debit Card,5,1249.35
TX300010,CUST100596,PROD200659,1,2023-06-20,Mobile Pay,0,1044.41
TX300011,CUST100839,PROD200318,3,2021-05-20,Credit Card,0,748.77
TX300012,CUST100002,PROD200079,4,2023-08-19,Debit Card,10,1080.68
TX300013,CUST101051,PROD201214,2,2023-06-25,Cash,0,1489.32
TX300014,CUST101404,PROD201476,4,2024-07-17,Debit Card,30,2429.2
TX300015,CUST100156,PROD201367,2,2022-09-13,Credit Card,10,2116.91
TX300016,CUST100854,PROD201053,4,2022-07-17,Debit Card,10,693.14
TX300017,CUST100510,PROD200413,3,2024-04-26,Mobile Pay,0,1522.68
TX300018,CUST101356,PROD200367,2,2021-04-26,Cash,0,1667.36
TX300019,CUST100686,PROD201006,4,2022-12-22,Debit Card,5,5348.08
TX300020,CUST101137,PROD201764,1,2023-11-06,Cash,20,364.58
TX300021,CUST101412,PROD200992,1,2021-06-01,Credit Card,0,661.37
TX300022,CUST101273,PROD200595,4,2022-09-28,Mobile Pay,5,3253.1
TX300023,CUST100570,PROD201525,3,2023-08-04,Debit Card,0,490.02
TX300024,CUST100714,PROD201685,4,2023-07-15,Credit Card,15,1202.61
TX300025,CUST101338,PROD201017,1,2021-03-19,Credit Card,10,384.61
TX300026,CUST100238,PROD200700,2,2021-04-27,Credit Card,0,1811.98
TX300027,CUST101257,PROD201044,2,2023-01-26,Debit Card,10,2062.21
TX300028,CUST100302,PROD200548,4,2022-08-11,Cash,30,3562.22
TX300029,CUST100606,PROD200245,2,2021-06-07,Mobile Pay,5,1070.54
TX300030,CUST100990,PROD200282,1,2024-08-13,Mobile Pay,0,218.27
TX300031,CUST100333,PROD200613,2,2021-07-04,Credit Card,0,532.08
TX300032,CUST100112,PROD200930,4,2024-06-13,Debit Card,30,1260.06
TX300033,CUST100361,PROD200805,4,2024-05-01,Debit Card,5,3284.64
TX300034,CUST100800,PROD200231,4,2023-11-05,Credit Card,0,3337.84
TX300035,CUST100096,PROD999999,1,2023-02-27,Debit Card,0,636.7
TX300036,CUST100015,PROD200837,3,2023-08-06,Credit Card,30,1526.91
TX300037,CUST100555,PROD201359,2,2024-04-03,Credit Card,10,865.24
TX300038,CUST100375,PROD200410,4,2024-02-10,Credit Card,0,5001.36
TX300039,CUST100741,PROD200244,3,2021-03-26,Cash,0,1328.76
TX300040,CUST100389,PROD200386,4,2023-07-11,Debit Card,20,4587.78
TX300041,CUST100619,PROD200688,4,2024-03-16,Cash,10,2411.68
TX300042,CUST101240,PROD201748,1,2024-08-27,Debit Card,0,426.59
TX300043,CUST101422,PROD200357,1,2022-01-21,Credit Card,10,930.09
TX300044,CUST101283,PROD201021,3,2022-10-21,Credit Card,0,4190.64
TX300045,CUST100823,PROD200613,4,2024-05-24,Credit Card,15,904.54
TX300046,CUST100319,PROD200797,2,2023-09-02,Credit Card,0,414.38
TX300047,CUST100195,PROD200021,2,2023-10-24,Mobile Pay,0,1717.56
TX300048,CUST100417,PROD200018,2,2021-11-05,Debit Card,0,184.24
TX300049,CUST101498,PROD201310,3,2021-05-07,Credit Card,0,3885.42
TX300050,CUST100606,PROD200275,1,2023-07-12,Credit Card,0,89.09
TX300051,CUST100567,PROD200658,3,2021-07-31,Debit Card,0,663.45
TX300052,CUST100543,PROD200897,1,2022-12-05,Debit Card,0,1240.55
TX300053,CUST100230,PROD200551,2,2021-06-22,Debit Card,15,2056.3
TX300054,CUST100883,PROD200678,2,2023-10-31,Credit Card,15,1441.57
TX300055,CUST100520,PROD200602,1,2024-08-16,Debit Card,0,1275.66
TX300056,CUST100702,PROD201095,2,2021-12-20,Credit Card,10,2419.2
TX300057,CUST101223,PROD200364,3,2021-03-22,Cash,10,772.42
TX300058,CUST100845,PROD200794,1,2022-05-23,Credit Card,0,378.87
TX300059,CUST100672,PROD201358,2,2023-06-16,Credit Card,0,2664.3
TX300060,CUST100020,PROD200651,4,2023-06-19,Debit Card,5,109.06
TX300061,CUST101334,PROD201774,2,2023-12-10,Credit Card,0,1969.7
TX300062,CUST100587,PROD200589,4,2023-12-07,Debit Card,10,663.23
TX300063,CUST100897,PROD200198,2,2024-06-02,Credit Card,5,731.08
TX300064,CUST101457,PROD200016,4,2021-11-22,Credit Card,0,1344.28
TX300065,CUST100370,PROD200217,2,2023-01-16,Mobile Pay,10,202.03
TX300066,CUST100077,PROD200740,4,2023-02-03,Credit Card,0,4091.88
TX300067,CUST101308,PROD200649,1,2022-08-03,Credit Card,0,14.76
TX300068,CUST100647,PROD200146,1,2023-03-05,Credit Card,10,1235.74
TX300069,CUST100139,PROD201233,4,2023-04-18,Mobile Pay,15,2238.05
TX300070,CUST100552,PROD200669,2,2022-11-24,Debit Card,0,1270.44
TX300071,CUST100997,PROD201437,3,2024-10-22,Mobile Pay,0,1304.67
TX300072,CUST100281,PROD200664,3,2024-05-09,Cash,15,689.09
TX300073,CUST101281,PROD200855,3,2021-04-18,Cash,20,1562.78
TX300074,CUST101383,PROD200329,3,2024-07-16,Debit Card,30,2819.94
TX300075,CUST100439,PROD200894,4,2024-08-18,Cash,0,492.32
TX300076,CUST100269,PROD201375,1,2022-11-17,Credit Card,0,403.04
TX300077,CUST101157,PROD201186,1,2021-05-15,Cash,20,546.1
TX300078,CUST100745,PROD200100,3,2022-11-07,Cash,0,3293.22
